GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
253639	0.2856	0.2823	0.3304	0.4247	1.093	1.322	1.782	0.4957	0.9541
285268	1.081	1.444	1.71	2.209	6.721	8.572	9.018	3.205	5.369
105377043	0.01081	0.01274	0.02872	0.05749	0.07776	0.1642	0.102	0.06361	0.05816
105377045	0	0	0	0.2964	0	0	0.2629	0	0
1499	28.4	28.88	31.29	30.8	135.5	146.1	143.8	66.87	118.6
54986	0.4548	0.3865	1.152	0.9283	3.595	4.891	6.123	2.081	1.992
105377046	0.02902	0.05131	0.106	0.09004	0.3001	0.2204	0.5706	0.1586	0.2147
107986077	0.06855	0	0.09105	0.243	0.9862	0.4627	0.6469	0.1729	0.3688
22906	8.341	8.349	11.46	13.58	57.52	64.53	51.47	14.87	48.82
105377048	0	0	0	0	0	0	0	0	0
885	0	0	0	0	0	0	0	0	0.05404
131375	0	0.09334	0	0	0	0	0	0	0
7433	0.2724	0.09514	0.469	0.152	1.288	1.107	1.285	0.4241	0.882
