feature,importance
ENSG00000154611,0.024787681445660476
ENSG00000282917,0.021261006559749756
ENSG00000144406,0.020101519888460952
ENSG00000143595,0.018284213350852948
ENSG00000174332,0.017940613635194794
ENSG00000233485,0.017670410565592137
ENSG00000116254,0.017561740251646068
ENSG00000124343,0.015611356761332393
ENSG00000175206,0.012498979280482868
ENSG00000120937,0.012430540096829645
ENSG00000105664,0.012213758209125243
ENSG00000186998,0.011999338168405102
ENSG00000080644,0.010946521981774518
ENSG00000175229,0.010942346802847974
ENSG00000101098,0.009552020172122868
ENSG00000228058,0.009395807886095198
ENSG00000144339,0.009244307809341185
ENSG00000187730,0.009015422107444871
ENSG00000253967,0.008927762286879845
ENSG00000234840,0.008574306162902046
ENSG00000196860,0.008480889855289005
ENSG00000143816,0.008404412489552567
ENSG00000243566,0.007674823162637445
ENSG00000144460,0.0073358276309186815
ENSG00000259462,0.007281659049719259
ENSG00000169618,0.006784327913515481
ENSG00000170627,0.006743345872059256
ENSG00000234118,0.006730732635737182
ENSG00000231013,0.006431149451398391
ENSG00000174586,0.006279140760953956
ENSG00000134240,0.006099250754535511
ENSG00000101197,0.005757159335189498
ENSG00000198547,0.005687680525524127
ENSG00000134028,0.005267171829473231
ENSG00000169385,0.005249317609316982
ENSG00000225376,0.004732688020643159
ENSG00000187268,0.004177604365395381
ENSG00000164047,0.004025250584365691
ENSG00000160221,0.003769018480347263
ENSG00000145423,0.003052753334890844
ENSG00000187175,0.0028703803028393947
ENSG00000117090,0.0025602484400021985
ENSG00000124875,0.0015530950428607555
ENSG00000241945,0.0014043292645106262
ENSG00000198216,0.0014039726439578895
ENSG00000255007,0.0013429197456894624
ENSG00000125740,0.0012346581449188933
ENSG00000166796,0.001225017083925194
ENSG00000204928,0.0007296164533019911
ENSG00000214415,0.0006096259134614634
