gene,log2FoldChange
ENSG00000244921,-6.83671084554993
ENSG00000251340,-6.06743619761402
ENSG00000270394,-5.96054731002706
ENSG00000120937,5.76355555817078
ENSG00000169385,-5.71039970336042
ENSG00000160221,5.42311922105598
ENSG00000170627,-5.3827714198169
ENSG00000105664,5.22172778524871
ENSG00000243029,-5.16773621015138
ENSG00000256892,-5.16447987311186
ENSG00000277062,-5.07437368645275
ENSG00000215030,4.9879987526797
ENSG00000266179,-4.97281900173727
ENSG00000249860,-4.86578843922811
ENSG00000175206,4.83610986825742
ENSG00000166796,4.82439137861012
ENSG00000233026,-4.81975669889209
ENSG00000267594,4.81551974634765
ENSG00000241945,4.79718611343742
ENSG00000255633,-4.79654968297302
ENSG00000209082,-4.75614448373957
ENSG00000233485,4.6441391294928
ENSG00000124875,-4.54420158038138
ENSG00000231013,-4.52623672544572
ENSG00000228058,-4.51957793979501
ENSG00000154611,-4.51957793979501
ENSG00000143816,4.43258443611647
ENSG00000248770,-4.38873859848452
ENSG00000204928,-4.37050827884152
ENSG00000269376,4.36982064490966
ENSG00000187268,4.3649387763982
ENSG00000240639,4.34935368692863
ENSG00000273259,-4.2509692131224
ENSG00000211459,-4.25050211075995
ENSG00000101098,4.23748147030641
ENSG00000242560,-4.20728920380275
ENSG00000124343,4.20400352467986
ENSG00000143595,4.19270416916533
ENSG00000210082,-4.19089685380202
ENSG00000243124,-4.14610976802152
ENSG00000175229,4.13001850690316
ENSG00000164047,-4.10651672974337
ENSG00000134240,-4.04201244092604
ENSG00000253967,4.00758603938517
ENSG00000080644,4.00615847884976
ENSG00000273338,-3.97811037135891
ENSG00000262118,-3.97653137849502
ENSG00000187175,-3.96320504536317
ENSG00000243980,-3.96318316520158
ENSG00000210174,-3.9571413601789
ENSG00000125740,3.94223227271941
ENSG00000269028,-3.91457127366407
ENSG00000279822,3.90008858380416
ENSG00000198216,-3.87204104365283
ENSG00000116254,3.84830572529665
ENSG00000282917,-3.82922850173372
ENSG00000174586,3.82606868703251
ENSG00000248923,-3.824350075135
ENSG00000256222,-3.8031025051937
ENSG00000214415,-3.79621716923646
ENSG00000282097,-3.78770397717863
ENSG00000234118,-3.78765903491432
ENSG00000279189,-3.78765191125905
ENSG00000243566,-3.78759163888805
ENSG00000144406,3.7647666997921
ENSG00000201315,-3.75468647491318
ENSG00000255007,-3.73861268109425
ENSG00000144460,-3.71739251211783
ENSG00000229031,-3.70987138046536
ENSG00000176115,-3.70986292851162
ENSG00000206663,-3.70234757971297
ENSG00000222880,-3.70233071163792
ENSG00000259462,3.69011893145168
ENSG00000262528,3.67715294483288
ENSG00000230438,3.6754607880633
ENSG00000270188,-3.67205511124126
ENSG00000101197,3.65150279973613
ENSG00000144339,-3.63653999547374
ENSG00000248367,3.62385763014643
ENSG00000212418,3.59617904745526
ENSG00000234840,3.58367436752259
ENSG00000174332,3.56594812248687
ENSG00000145423,3.55511446515508
ENSG00000225376,-3.54076340205411
ENSG00000187730,3.51827914130783
ENSG00000249780,-3.49433360899889
ENSG00000268592,3.45071564962777
ENSG00000206832,-3.4441720482752
ENSG00000134028,-3.44203592151539
ENSG00000231728,3.42395999227572
ENSG00000198547,3.40027634404417
ENSG00000117090,-3.39744198687095
ENSG00000233005,3.38709019202193
ENSG00000255202,-3.38346106760601
ENSG00000196860,-3.38344559660878
ENSG00000169618,-3.37569348884312
ENSG00000259616,-3.37564594771081
ENSG00000186998,3.35759309896235
ENSG00000225972,-3.3569846499068
ENSG00000266875,-3.35088393463998
ENSG00000235160,-3.34378921100537
ENSG00000091181,-3.34302956005868
ENSG00000252496,3.34290876759733
ENSG00000249141,-3.34282139993434
ENSG00000277840,3.34227902875606
ENSG00000169181,3.33837559946251
ENSG00000258938,3.33569848024638
ENSG00000181143,-3.33056939998954
ENSG00000242101,-3.31431995711583
ENSG00000267079,-3.31078903189525
ENSG00000255823,-3.30645564835431
ENSG00000133246,3.29616076613291
ENSG00000225857,3.29125565324368
ENSG00000279035,3.28693044759243
ENSG00000144230,3.28439468000545
ENSG00000183239,-3.28351008034121
ENSG00000267653,-3.27398843787467
ENSG00000152086,-3.26846668499046
ENSG00000225840,-3.26271160097695
ENSG00000169248,-3.25707191339871
ENSG00000233985,-3.25398735029615
ENSG00000226648,3.23815544420348
ENSG00000211659,-3.22001350045664
ENSG00000228363,-3.21741270575012
ENSG00000169436,3.2028634834436
ENSG00000035499,-3.20115061018057
ENSG00000243424,3.19002589645101
ENSG00000189139,-3.18767921370403
ENSG00000229536,3.18747310160013
ENSG00000267749,3.1863943502308
ENSG00000258751,3.1690170175053
ENSG00000206195,3.15831115673441
ENSG00000172156,-3.15261470052052
ENSG00000135773,3.1492556644968
ENSG00000262304,3.14559622361262
ENSG00000099866,3.14531688898949
ENSG00000276768,3.1292755861988
ENSG00000197085,-3.12560528878535
ENSG00000166448,3.12470516207178
ENSG00000197616,-3.11201505736227
ENSG00000234597,-3.10433074239138
ENSG00000275807,3.09105595579626
ENSG00000253175,3.08914008973694
ENSG00000231678,-3.08738407390102
ENSG00000206623,3.08225884413727
ENSG00000164451,-3.08154809654012
ENSG00000135960,-3.07707985066959
ENSG00000188459,-3.07069249316555
ENSG00000228624,3.0592525905169
ENSG00000250320,3.04877612081444
ENSG00000251031,-3.04209886286661
ENSG00000183979,3.04196336635414
ENSG00000156466,3.04186379149354
ENSG00000275395,-3.0345546124891
ENSG00000124713,-3.03210381402909
ENSG00000258794,3.03155876082293
ENSG00000236279,-3.02939657683114
ENSG00000278899,3.02371185307929
ENSG00000272232,-3.02198521014171
ENSG00000066248,3.01925402010706
ENSG00000248790,3.01912755591621
ENSG00000237749,-3.01730846305176
ENSG00000260269,3.01038232942123
ENSG00000164509,3.01035882412437
ENSG00000271538,3.00982697787515
ENSG00000243056,3.00784023288953
ENSG00000259475,2.9969180128793
ENSG00000259771,2.99582870646708
ENSG00000109265,2.99465395479687
ENSG00000279764,2.99054355289346
ENSG00000228366,-2.98599847860717
ENSG00000197978,-2.98567061584767
ENSG00000270906,-2.98488497198409
ENSG00000211897,-2.98395564506717
ENSG00000236058,-2.98114019790242
ENSG00000280376,2.97732054643816
ENSG00000159708,-2.9722937941938
ENSG00000274051,2.96737296953873
ENSG00000249395,-2.96675025684338
ENSG00000242551,2.9519781119793
ENSG00000280426,-2.9498614280631
ENSG00000244242,2.94707720308171
ENSG00000223075,-2.93872440595573
ENSG00000263529,-2.935088168152
ENSG00000237624,2.92589324145949
ENSG00000230316,2.92555944751485
ENSG00000236281,-2.914707524582
ENSG00000246877,2.9105196257144
ENSG00000231616,2.90740123494701
ENSG00000248802,-2.9023773217423
ENSG00000148604,-2.90091376688712
ENSG00000124116,2.89979238688191
ENSG00000199331,2.89657588453537
ENSG00000248121,2.89506300805048
ENSG00000235641,2.89468480854704
ENSG00000148773,-2.88906768289457
ENSG00000231575,2.87425852738974
ENSG00000278445,2.87278340682883
ENSG00000006071,2.8727505975304
ENSG00000236908,2.87021838999258
ENSG00000187398,2.86306728687975
ENSG00000251576,2.86155192092572
ENSG00000265141,-2.85810816883157
ENSG00000101825,2.85765446379481
ENSG00000258450,2.85083758282742
ENSG00000274267,-2.85018511141424
ENSG00000236711,2.84867311899032
ENSG00000279353,-2.84083331315142
ENSG00000271714,2.84046795467806
ENSG00000225849,-2.84041782983532
ENSG00000277369,2.8401273530529
ENSG00000138180,-2.83330104614364
ENSG00000143125,-2.83223249364334
ENSG00000240663,-2.82378885497439
ENSG00000249001,-2.81885968032511
ENSG00000165449,2.81757868125856
ENSG00000160284,2.81410440604795
ENSG00000226977,2.80650029061218
ENSG00000273703,-2.80057142147396
ENSG00000131747,-2.79512434398193
ENSG00000249631,-2.79306631438004
ENSG00000207368,2.78976954227965
ENSG00000142748,-2.78793142940476
ENSG00000112077,-2.78170790333136
ENSG00000272386,2.77503904159072
ENSG00000197444,2.77096892135231
